name,artist,popularity,duration_ms,rank
The Show,Niall Horan,58,191207,1
Tattoo,Loreen,79,183374,2
As It Was,Harry Styles,86,167303,3
Espresso,Sabrina Carpenter,88,175459,4
Who the Hell Is Edgar?,TEYA,49,159417,5
Audition (The Fools Who Dream),Emma Stone,54,228266,6
My Sister's Crown,Vesna,48,176800,7
Black Hole,Griff,49,200523,8
Start A Fire,John Legend,54,192093,9
Treat People With Kindness,Harry Styles,61,197346,10
Epilogue,Justin Hurwitz,57,459466,11
Planetarium,Justin Hurwitz,57,257279,12
Written All Over Your Face,Louis Tomlinson,59,160560,13
LUNCH,Billie Eilish,84,179586,14
Little Freak,Harry Styles,71,202183,15
Another Day Of Sun,La La Land Cast,63,228173,16
Too Sweet,Hozier,78,251424,17
Black And White,Niall Horan,62,193089,18
Jedeme Dál,Olympic,18,165266,19
Cha Cha Cha,Käärijä,62,175161,20
Late Night Talking,Harry Styles,76,177954,21
Queen of Kings,Alessandra,66,147979,22
One Of Your Girls,Troye Sivan,74,181481,23
Heaven,Niall Horan,70,186043,24
10:35,Tiësto,72,172252,25
help herself,bbno$,60,188571,26
Love Of My Life,Harry Styles,68,191638,27
Murder on the Dance Floor - triple j Like A Version,Royel Otis,67,180872,28
Movement,Hozier,63,237800,29
Matilda,Harry Styles,76,245964,30
No Control,One Direction,68,199720,31
Out Of My System,Louis Tomlinson,56,137973,32
Glorious Purpose,TZEJAX,7,242105,33
ghosting,Pam Rabbit,23,138294,34
Dance The Night - From Barbie The Album,Dua Lipa,79,176579,35
Renaissance,BUNT.,47,151688,36
Renaissance (Main Title Theme) - [Extended Version] [from “The White Lotus: Season 2”],Cristobal Tapia De Veer,35,263346,37
Femme Like U,K.Maro,65,248640,38
Small Talk,Niall Horan,59,197890,39
JESUS IN BERLIN,nullzwei,41,152343,40
Existence II,MIDI Lidi,19,374325,41
Unicorn,Noa Kirel,50,170900,42
Life is a Highway,Rascal Flatts,71,275640,43
Rush,Troye Sivan,76,156391,44
Pedestal,Aiko,41,148120,45
A Lovely Night,Ryan Gosling,61,236506,46
Someone New,Hozier,71,222813,47
This Town,Niall Horan,77,232852,48
Ich kündige,Grossstadtgeflüster,43,181458,49
Nie Allein,KAFFKIEZ,53,205403,50
